PBMT,Factored,NMT
"Većina <mqm:startIssue type=""Agreement"" severity=""null"" note="""" agent=""Project Manager"" id=""2919""/><mqm:startIssue type=""Gender"" severity=""null"" note="""" agent=""Project Manager"" id=""2920""/>liberali<mqm:endIssue id=""2919""/> su nestale<mqm:endIssue id=""2920""/>.","Većina <mqm:startIssue type=""Number"" severity=""null"" note="""" agent=""Project Manager"" id=""2921""/>liberali su nedostajali<mqm:endIssue id=""2921""/>.",Većina liberala je nestala.
"Riječ nije bila uključena u <mqm:startIssue type=""Case"" severity=""null"" note="""" agent=""annotator1"" id=""2922""/>prethodnom <mqm:startIssue type=""Mistranslation"" severity=""null"" note="""" agent=""annotator1"" id=""2923""/>periodu<mqm:endIssue id=""2923""/>.<mqm:endIssue id=""2922""/>","Riječ nije bila uključena u <mqm:startIssue type=""Case"" severity=""null"" note="""" agent=""annotator1"" id=""2924""/>prethodnom Ustavu<mqm:endIssue id=""2924""/>.",Riječ nije bila uključena u prethodni Ustav.
"Prema Ministarstvu unutarnjihÂ poslovaÂ <mqm:startIssue type=""Agreement"" severity=""null"" note="""" agent=""annotator1"" id=""2925""/><mqm:startIssue type=""Word order"" severity=""null"" note="""" agent=""annotator1"" id=""2926""/>statistike<mqm:endIssue id=""2926""/><mqm:endIssue id=""2925""/>, 142 kaznena djela uporabom oružja <mqm:startIssue type=""Gender"" severity=""null"" note="""" agent=""annotator1"" id=""2927""/>registrirani<mqm:endIssue id=""2927""/>Â <mqm:startIssue type=""Incorrect"" severity=""null"" note="""" agent=""annotator1"" id=""2928""/>sa<mqm:endIssue id=""2928""/> službama za provođenje zakona su počinjena u <mqm:startIssue type=""Addition"" severity=""null"" note="""" agent=""annotator1"" id=""2929""/>prvih<mqm:endIssue id=""2929""/> šest mjeseci 2012. godine, <mqm:startIssue type=""Mistranslation"" severity=""null"" note="""" agent=""annotator1"" id=""2930""/>budući da<mqm:endIssue id=""2930""/> su zabilježeni <mqm:startIssue type=""Word order"" severity=""null"" note="""" agent=""annotator1"" id=""2931""/>zločini 1,168,000<mqm:endIssue id=""2931""/> <mqm:startIssue type=""Register"" severity=""null"" note="""" agent=""annotator1"" id=""2932""/>u ukupnom iznosu<mqm:endIssue id=""2932""/> <mqm:startIssue type=""Incorrect"" severity=""null"" note="""" agent=""annotator1"" id=""2933""/>za<mqm:endIssue id=""2933""/> ovo razdoblje.","Prema statistici Ministarstva unutarnjih poslova, 142 <mqm:startIssue type=""Spelling"" severity=""null"" note="""" agent=""annotator1"" id=""2934""/><mqm:startIssue type=""Case"" severity=""null"" note="""" agent=""annotator1"" id=""2935""/>zlocine<mqm:endIssue id=""2935""/><mqm:endIssue id=""2934""/> <mqm:startIssue type=""Spelling"" severity=""null"" note="""" agent=""annotator1"" id=""2936""/>koristeci<mqm:endIssue id=""2936""/> vatreno oružje registrirano s policijskim tijelima koja su počinjena u prvih šest mjeseci 2012. godine, <mqm:startIssue type=""Mistranslation"" severity=""null"" note="""" agent=""annotator1"" id=""2937""/>budući da<mqm:endIssue id=""2937""/> su zločini 1,168,000 zabilježeno je ukupno za ovaj period.","Prema podacima Ministarstva unutarnjih poslova, 142 zločina <mqm:startIssue type=""Mistranslation"" severity=""null"" note="""" agent=""annotator1"" id=""3533""/>koji se odnosi na<mqm:endIssue id=""3533""/> oružje koje je registrirano sa tijelima za provedbu zakona je počinjeno u šest mjeseci 2012. godine, dok je za ovo razdoblje zabilježeno<mqm:startIssue type=""Omission"" severity=""null"" note="""" agent=""annotator1"" id=""3534""/> <mqm:endIssue id=""3534""/>1.168.000 kaznenih djela."
Treba vremena za izgraditi momčad.,Potrebno je vrijeme da se izgradi tim.,Treba vremena da se izgradi tim.
"<mqm:startIssue type=""Mistranslation"" severity=""critical"" note="""" agent=""annotator1"" id=""2938""/>NemaÂ industrije<mqm:endIssue id=""2938""/> su obnovljene, <mqm:startIssue type=""Mistranslation"" severity=""null"" note="""" agent=""annotator1"" id=""2939""/>nemaÂ brane<mqm:endIssue id=""2939""/> su u dobrom stanju, <mqm:startIssue type=""Mistranslation"" severity=""null"" note="""" agent=""annotator1"" id=""2940""/>nema većih sistema za navodnjavanje je<mqm:endIssue id=""2940""/> popravljen.","<mqm:startIssue type=""Mistranslation"" severity=""null"" note="""" agent=""annotator1"" id=""2941""/>Bez industrije<mqm:endIssue id=""2941""/> su ponovo <mqm:startIssue type=""Case"" severity=""null"" note="""" agent=""annotator1"" id=""2942""/>uspostavljena<mqm:endIssue id=""2942""/>, <mqm:startIssue type=""Untranslated"" severity=""null"" note="""" agent=""annotator1"" id=""2943""/>no<mqm:endIssue id=""2943""/> brane su u dobrom stanju, <mqm:startIssue type=""Mistranslation"" severity=""null"" note="""" agent=""annotator1"" id=""2944""/>bez velikih irigacionih sistema je popravljena<mqm:endIssue id=""2944""/>.","Nijedna industrija nije uspostavljena, ni <mqm:startIssue type=""Mistranslation"" severity=""null"" note="""" agent=""annotator1"" id=""3535""/>brana<mqm:endIssue id=""3535""/> nije u dobrom stanju, nijedan<mqm:startIssue type=""Omission"" severity=""null"" note="""" agent=""annotator1"" id=""3536""/> <mqm:endIssue id=""3536""/>sustav za navodnjavanje nije popravljen."
"Velika većina ilegalnog oružja, prema istraživačima, potječe iz <mqm:startIssue type=""Mistranslation"" severity=""critical"" note="""" agent=""annotator1"" id=""2945""/>vojne i sigurnosne snage<mqm:endIssue id=""2945""/>.","Velika većina ilegalnog oružja, prema istraživačima, dolazi iz vojnih i sigurnosnih snaga.","Velika većina ilegalnog oružja, prema istraživačima, dolazi iz vojnih i sigurnosnih snaga."
"I onda, <mqm:startIssue type=""Mistranslation"" severity=""null"" note="""" agent=""annotator1"" id=""2946""/><mqm:startIssue type=""Number"" severity=""null"" note="""" agent=""annotator1"" id=""2947""/>aplikacija<mqm:endIssue id=""2946""/> može također <mqm:startIssue type=""Tense/aspect/mood"" severity=""null"" note="""" agent=""annotator1"" id=""2948""/>dolaze<mqm:endIssue id=""2947""/><mqm:endIssue id=""2948""/> iz svih <mqm:startIssue type=""Mistranslation"" severity=""null"" note="""" agent=""annotator1"" id=""2949""/>instrumenata<mqm:endIssue id=""2949""/> koji <mqm:startIssue type=""Number"" severity=""null"" note="""" agent=""annotator1"" id=""2950""/>okružuje<mqm:endIssue id=""2950""/> istraživanja.","I onda, <mqm:startIssue type=""Mistranslation"" severity=""null"" note="""" agent=""annotator1"" id=""2951""/>aplikacija<mqm:endIssue id=""2951""/> također može doći iz svih <mqm:startIssue type=""Mistranslation"" severity=""null"" note="""" agent=""annotator1"" id=""2952""/>instrumenata<mqm:endIssue id=""2952""/> koji <mqm:startIssue type=""Number"" severity=""null"" note="""" agent=""annotator1"" id=""2953""/>okružuje<mqm:endIssue id=""2953""/> istraživanja.","I onda, aplikacije također mogu doći od svih <mqm:startIssue type=""Mistranslation"" severity=""null"" note="""" agent=""annotator1"" id=""3537""/>instrumentacija<mqm:endIssue id=""3537""/> koje okružuju istraživanje."
"Naočale su vrlo osobni uređaj, to je njihova <mqm:startIssue type=""Number"" severity=""null"" note="""" agent=""annotator1"" id=""2954""/>snaga (privatne stvari se <mqm:startIssue type=""Tense/aspect/mood"" severity=""null"" note="""" agent=""annotator1"" id=""2955""/>vide<mqm:endIssue id=""2955""/> samo <mqm:startIssue type=""Mistranslation"" severity=""null"" note="""" agent=""annotator1"" id=""2956""/>tebe<mqm:endIssue id=""2956""/>) i, u isto vrijeme, njihove slabosti<mqm:endIssue id=""2954""/> - proširenu stvarnost<mqm:startIssue type=""Omission"" severity=""null"" note="""" agent=""annotator1"" id=""2957""/> <mqm:endIssue id=""2957""/><mqm:startIssue type=""Tense/aspect/mood"" severity=""null"" note="""" agent=""annotator1"" id=""2958""/>temelji<mqm:endIssue id=""2958""/> na <mqm:startIssue type=""Case"" severity=""null"" note="""" agent=""annotator1"" id=""2959""/>naočale<mqm:endIssue id=""2959""/> neće dopustiti da radeÂ na <mqm:startIssue type=""Case"" severity=""null"" note="""" agent=""annotator1"" id=""2960""/>virtualne predmete<mqm:endIssue id=""2960""/> zajedno s drugim ljudima.","Naočale su vrlo osobni uređaj, to je njihova <mqm:startIssue type=""Number"" severity=""null"" note="""" agent=""annotator1"" id=""2961""/>snaga (privatne stvari koje <mqm:startIssue type=""Tense/aspect/mood"" severity=""null"" note="""" agent=""annotator1"" id=""2962""/>su vidjeli<mqm:endIssue id=""2962""/> samo <mqm:startIssue type=""Mistranslation"" severity=""null"" note="""" agent=""annotator1"" id=""2963""/>od vas<mqm:endIssue id=""2963""/>) i, u isto vrijeme, njihove slabosti<mqm:endIssue id=""2961""/> - <mqm:startIssue type=""Number"" severity=""null"" note="""" agent=""annotator1"" id=""2964""/>proširene stvarnosti koja<mqm:endIssue id=""2964""/>Â se temelji na <mqm:startIssue type=""Case"" severity=""null"" note="""" agent=""annotator1"" id=""2965""/>naočale<mqm:endIssue id=""2965""/> neće dopustiti da rade na <mqm:startIssue type=""Case"" severity=""null"" note="""" agent=""annotator1"" id=""2966""/>virtualne predmete<mqm:endIssue id=""2966""/> zajedno s drugim ljudima.","Naočale su vrlo osobni uređaj, to je njihova snaga (privatne stvari <mqm:startIssue type=""Mistranslation"" severity=""null"" note="""" agent=""annotator1"" id=""3538""/>vide samo vas<mqm:endIssue id=""3538""/>) i, u isto vrijeme, njihova slabost - proširena stvarnost bazirana na naočalama neće vam omogućiti rad na virtualnim objektima zajedno s drugim ljudima."
"Dovoljno da se već <mqm:startIssue type=""Unintelligible"" severity=""null"" note="""" agent=""annotator1"" id=""2967""/>protiveÂ ljudiÂ oklijevaju da se testovima probira<mqm:endIssue id=""2967""/>.","Dovoljno da se već <mqm:startIssue type=""Unintelligible"" severity=""null"" note="""" agent=""annotator1"" id=""2968""/>nerado ljudi oklijevaju da se testovi probira<mqm:endIssue id=""2968""/>.","Dovoljno da se<mqm:startIssue type=""Omission"" severity=""null"" note="""" agent=""annotator1"" id=""3539""/> <mqm:endIssue id=""3539""/><mqm:startIssue type=""Mistranslation"" severity=""null"" note="""" agent=""annotator1"" id=""3540""/>ljudi<mqm:endIssue id=""3540""/> <mqm:startIssue type=""Mistranslation"" severity=""null"" note="""" agent=""annotator1"" id=""3541""/>ne obaziru<mqm:endIssue id=""3541""/> na testiranje."
"Ništa impresivno, u odnosu na globalne transakcije u <mqm:startIssue type=""Agreement"" severity=""null"" note="""" agent=""Project Manager"" id=""2969""/><mqm:startIssue type=""Agreement"" severity=""null"" note="""" agent=""Project Manager"" id=""2970""/>realnom valute<mqm:endIssue id=""2969""/> ili financijske proizvode<mqm:endIssue id=""2970""/>.","Ništa impresivno, u odnosu na globalne transakcije u <mqm:startIssue type=""Agreement"" severity=""null"" note="""" agent=""Project Manager"" id=""2971""/><mqm:startIssue type=""Omission"" severity=""null"" note="""" agent=""Project Manager"" id=""2972""/>Â <mqm:endIssue id=""2972""/>valuti ili financijskih proizvoda<mqm:endIssue id=""2971""/>.",Ništa jako impresivno u usporedbi s globalnim transakcijama u pravoj valuti ili financijskim proizvodima.
"Ovo je, također, gdje je Isus došao pred <mqm:startIssue type=""Case"" severity=""null"" note="""" agent=""annotator1"" id=""2973""/>svojim učenicima<mqm:endIssue id=""2973""/> nakon uskrsnuća.","Ovo je također <mqm:startIssue type=""Addition"" severity=""null"" note="""" agent=""annotator1"" id=""2974""/>i<mqm:endIssue id=""2974""/> gdje je Isus došao pred <mqm:startIssue type=""Case"" severity=""null"" note="""" agent=""annotator1"" id=""2975""/>svojim učenicima<mqm:endIssue id=""2975""/>, i nakon uskrsnuća.","Tu je i Isus došao <mqm:startIssue type=""Mistranslation"" severity=""null"" note="""" agent=""annotator1"" id=""3542""/>prije<mqm:endIssue id=""3542""/> njegovih učenika i nakon uskrsnuća."
"Posjetitelji i izletnici dolaze uglavnom iz <mqm:startIssue type=""Case"" severity=""null"" note="""" agent=""annotator1"" id=""2976""/>SAD<mqm:endIssue id=""2976""/>, Rusije, Francuske, Njemačke, Italije, Engleske i Ukrajine.","Posjetitelji i izletnici dolaze uglavnom iz SAD-a, Rusije, Francuske, Njemačke, Italije, Engleske i Ukrajine.","Posjetitelji i izletnici <mqm:startIssue type=""Mistranslation"" severity=""null"" note="""" agent=""annotator1"" id=""3543""/>su dolazili<mqm:endIssue id=""3543""/> uglavnom iz SAD-a, Rusije, Francuske, Njemačke, Italije, Engleske i Ukrajine."
"U kući Victor-Gadbois, <mqm:startIssue type=""Mistranslation"" severity=""null"" note="""" agent=""annotator1"" id=""2977""/>jednog dana<mqm:endIssue id=""2977""/> slijedi još <mqm:startIssue type=""Gender"" severity=""null"" note="""" agent=""annotator1"" id=""2978""/>jedan ali ne postoje dvije iste<mqm:endIssue id=""2978""/>.","U kući Victor-Gadbois, <mqm:startIssue type=""Mistranslation"" severity=""critical"" note="""" agent=""annotator1"" id=""2979""/>jednog dana<mqm:endIssue id=""2979""/> slijedi još <mqm:startIssue type=""Gender"" severity=""null"" note="""" agent=""annotator1"" id=""2980""/>jedno, ali ne postoje dvije iste<mqm:endIssue id=""2980""/>.","U hotelu Victor-Gadbois, jedan dan slijedi drugog, ali ne<mqm:startIssue type=""Omission"" severity=""null"" note="""" agent=""annotator1"" id=""3544""/> <mqm:endIssue id=""3544""/>i dva ista."
"<mqm:startIssue type=""Unintelligible"" severity=""null"" note="""" agent=""annotator1"" id=""2981""/>Bio sam samo vraćati<mqm:endIssue id=""2981""/> <mqm:startIssue type=""Incorrect"" severity=""null"" note="""" agent=""annotator1"" id=""2982""/>iz<mqm:endIssue id=""2982""/> niza ozljeda.","<mqm:startIssue type=""Unintelligible"" severity=""null"" note="""" agent=""annotator1"" id=""2983""/>Bio sam samo vraćati<mqm:endIssue id=""2983""/> <mqm:startIssue type=""Incorrect"" severity=""null"" note="""" agent=""annotator1"" id=""2984""/>iz<mqm:endIssue id=""2984""/> niza ozljeda.","Upravo sam se <mqm:startIssue type=""Mistranslation"" severity=""null"" note="""" agent=""annotator1"" id=""3545""/>vratio<mqm:endIssue id=""3545""/> iz niza ozljeda."
"<mqm:startIssue type=""Addition"" severity=""null"" note="""" agent=""annotator1"" id=""2985""/>U<mqm:endIssue id=""2985""/> cijeloj povijesti moja provokativna <mqm:startIssue type=""Mistranslation"" severity=""null"" note="""" agent=""annotator1"" id=""2986""/>akcija<mqm:endIssue id=""2986""/> je poziv na raspravu.","Cijela povijest <mqm:startIssue type=""Mistranslation"" severity=""null"" note="""" agent=""annotator1"" id=""2987""/>moje provokativne akcije<mqm:endIssue id=""2987""/> je poziv na raspravu.","Cijela povijest mojih provokativnih <mqm:startIssue type=""Mistranslation"" severity=""null"" note="""" agent=""annotator1"" id=""3546""/>akcija<mqm:endIssue id=""3546""/> je poziv na raspravu."
"<mqm:startIssue type=""Mistranslation"" severity=""null"" note="""" agent=""annotator1"" id=""2988""/>Cure<mqm:endIssue id=""2988""/> <mqm:startIssue type=""Tense/aspect/mood"" severity=""null"" note="""" agent=""annotator1"" id=""2989""/>ne reagiraju<mqm:endIssue id=""2989""/> na svjetlo i zvuk.",Pilići ne reagiraju na svjetlo i zvuk.,"<mqm:startIssue type=""Mistranslation"" severity=""null"" note="""" agent=""annotator1"" id=""3547""/>Komadi<mqm:endIssue id=""3547""/> nisu reagirali na svjetlo."
"Sve se uvozi; ništa se ne proizvodi, osim voća i povrća.","Sve je <mqm:startIssue type=""Gender"" severity=""null"" note="""" agent=""Project Manager"" id=""2990""/>uvezena<mqm:endIssue id=""2990""/>; ništa se ne proizvodi, osim voća i povrća.",Sve se uvozi; ništa se ne proizvodi osim voća i povrća.
