mt_out1,mt_out2,mt_out3
"I onda, <mqm:startIssue type=""Number"" severity=""null"" note="""" agent=""annotator2"" id=""2411""/><mqm:startIssue type=""Register"" severity=""null"" note="""" agent=""annotator2"" id=""2412""/>aplikacija<mqm:endIssue id=""2412""/> može<mqm:endIssue id=""2411""/><ins>Â </ins><del> </del>također <mqm:startIssue type=""Tense/aspect/mood"" severity=""null"" note="""" agent=""annotator2"" id=""2413""/>dolaze <mqm:endIssue id=""2413""/>iz svih instrumenata koji <mqm:startIssue type=""Case"" severity=""null"" note="""" agent=""annotator2"" id=""2414""/>okružuje <mqm:endIssue id=""2414""/><mqm:startIssue type=""Number"" severity=""null"" note="""" agent=""annotator2"" id=""2415""/>istraživanja<mqm:endIssue id=""2415""/>.","I onda, <mqm:startIssue type=""Register"" severity=""null"" note="""" agent=""annotator2"" id=""2416""/>aplikacija<mqm:endIssue id=""2416""/> također može doći iz svih instrumenata koji <mqm:startIssue type=""Number"" severity=""null"" note="""" agent=""annotator2"" id=""2417""/>okružuje<mqm:endIssue id=""2417""/> istraživanja.","I onda, <mqm:startIssue type=""Mistranslation"" severity=""null"" note="""" agent=""annotator2"" id=""3375""/>aplikacije <mqm:endIssue id=""3375""/>također mogu doći od svih <mqm:startIssue type=""Mistranslation"" severity=""null"" note="""" agent=""annotator2"" id=""3376""/>instrumentacija <mqm:endIssue id=""3376""/>koje okružuju istraživanje."
"Naočale su vrlo <mqm:startIssue type=""Word form"" severity=""null"" note="""" agent=""annotator2"" id=""2418""/>osobni<mqm:endIssue id=""2418""/> uređaj, to je njihova <mqm:startIssue type=""Mistranslation"" severity=""null"" note="""" agent=""annotator2"" id=""2419""/>snaga <mqm:endIssue id=""2419""/>(privatne stvari <mqm:startIssue type=""Tense/aspect/mood"" severity=""null"" note="""" agent=""annotator2"" id=""2420""/>se vide<mqm:endIssue id=""2420""/> samo <mqm:startIssue type=""Case"" severity=""null"" note="""" agent=""annotator2"" id=""2421""/>tebe<mqm:endIssue id=""2421""/>) i, u isto vrijeme, <mqm:startIssue type=""Case"" severity=""null"" note="""" agent=""annotator2"" id=""2422""/>njihove slabosti<mqm:endIssue id=""2422""/> - <mqm:startIssue type=""Case"" severity=""null"" note="""" agent=""annotator2"" id=""2423""/>proširenu<mqm:endIssue id=""2423""/> stvarnost <mqm:startIssue type=""Tense/aspect/mood"" severity=""null"" note="""" agent=""annotator2"" id=""2424""/>temelji <mqm:endIssue id=""2424""/>na <mqm:startIssue type=""Case"" severity=""null"" note="""" agent=""annotator2"" id=""2425""/>naočale <mqm:endIssue id=""2425""/>neće dopustiti <mqm:startIssue type=""Part of speech"" severity=""null"" note="""" agent=""annotator2"" id=""2426""/>da rade<mqm:endIssue id=""2426""/> na <mqm:startIssue type=""Case"" severity=""null"" note="""" agent=""annotator2"" id=""2427""/>virtualne predmete<mqm:endIssue id=""2427""/> zajedno s drugim ljudima.","Naočale su vrlo <mqm:startIssue type=""Word form"" severity=""null"" note="""" agent=""annotator2"" id=""2428""/>osobni<mqm:endIssue id=""2428""/> uređaj, to je njihova snaga (privatne stvari koje <mqm:startIssue type=""Tense/aspect/mood"" severity=""null"" note=""razlika između određenog i neodređenog pridjeva nije pokrivena klasifikacijskom shemom pa sam to označio samo kao word form"" agent=""annotator2"" id=""2429""/>su vidjeli<mqm:endIssue id=""2429""/> samo od <mqm:startIssue type=""Case"" severity=""null"" note="""" agent=""annotator2"" id=""2430""/>vas<mqm:endIssue id=""2430""/>) i, u isto vrijeme, <mqm:startIssue type=""Number"" severity=""null"" note="""" agent=""annotator2"" id=""2431""/>njihove slabosti<mqm:endIssue id=""2431""/> - <mqm:startIssue type=""Number"" severity=""null"" note="""" agent=""annotator2"" id=""2432""/>proširene stvarnosti<mqm:endIssue id=""2432""/> koja se temelji na <mqm:startIssue type=""Case"" severity=""null"" note="""" agent=""annotator2"" id=""2433""/>naočale<mqm:endIssue id=""2433""/> neće dopustiti <mqm:startIssue type=""Part of speech"" severity=""null"" note="""" agent=""annotator2"" id=""2434""/>da rade<mqm:endIssue id=""2434""/> na <mqm:startIssue type=""Case"" severity=""null"" note="""" agent=""annotator2"" id=""2435""/>virtualne predmete<mqm:endIssue id=""2435""/> zajedno s drugim ljudima.","Naočale su vrlo <mqm:startIssue type=""Word form"" severity=""null"" note="""" agent=""annotator2"" id=""3383""/>osobni <mqm:endIssue id=""3383""/>uređaj, to je njihova <mqm:startIssue type=""Register"" severity=""null"" note="""" agent=""annotator2"" id=""3384""/>snaga <mqm:endIssue id=""3384""/>(<mqm:startIssue type=""Mistranslation"" severity=""null"" note="""" agent=""annotator2"" id=""3385""/>privatne stvari vide samo vas<mqm:endIssue id=""3385""/>) i, u isto vrijeme, njihova slabost - proširena stvarnost <mqm:startIssue type=""Register"" severity=""null"" note="""" agent=""annotator2"" id=""3386""/>bazirana <mqm:endIssue id=""3386""/>na naočalama neće vam omogućiti rad na virtualnim objektima zajedno s drugim ljudima."
"<mqm:startIssue type=""Unintelligible"" severity=""null"" note="""" agent=""annotator2"" id=""2436""/>Dovoljno da se već protive ljudi oklijevaju da se testovima probira.<mqm:endIssue id=""2436""/>","<mqm:startIssue type=""Unintelligible"" severity=""null"" note="""" agent=""annotator2"" id=""2437""/>Dovoljno da se već nerado ljudi oklijevaju da se testovi probira.<mqm:endIssue id=""2437""/>","Dovoljno da se ljudi<mqm:startIssue type=""Omission"" severity=""null"" note="""" agent=""annotator2"" id=""3387""/> <mqm:endIssue id=""3387""/><mqm:startIssue type=""Mistranslation"" severity=""null"" note="""" agent=""annotator2"" id=""3388""/>ne obaziru<mqm:endIssue id=""3388""/> na testiranje."
"Ništa<mqm:startIssue type=""Omission"" severity=""null"" note="""" agent=""Project Manager"" id=""2438""/> <mqm:endIssue id=""2438""/>impresivno, u <mqm:startIssue type=""Mistranslation"" severity=""null"" note="""" agent=""Project Manager"" id=""2439""/>odnosu na<mqm:endIssue id=""2439""/> <mqm:startIssue type=""Case"" severity=""null"" note="""" agent=""Project Manager"" id=""2440""/>globalne transakcije<mqm:endIssue id=""2440""/> u <mqm:startIssue type=""Case"" severity=""null"" note="""" agent=""Project Manager"" id=""2441""/>realnom<mqm:endIssue id=""2441""/> <mqm:startIssue type=""Case"" severity=""null"" note="""" agent=""Project Manager"" id=""2442""/>valute <mqm:endIssue id=""2442""/>ili financijske proizvode.","Ništa<mqm:startIssue type=""Omission"" severity=""null"" note="""" agent=""Project Manager"" id=""2443""/> <mqm:endIssue id=""2443""/>impresivno, <mqm:startIssue type=""Mistranslation"" severity=""null"" note="""" agent=""Project Manager"" id=""2444""/>u odnosu na<mqm:endIssue id=""2444""/> globalne transakcije u<mqm:startIssue type=""Omission"" severity=""null"" note="""" agent=""Project Manager"" id=""2445""/> <mqm:endIssue id=""2445""/>valuti ili <mqm:startIssue type=""Case"" severity=""null"" note="""" agent=""Project Manager"" id=""2446""/>financijskih proizvoda<mqm:endIssue id=""2446""/>.",Ništa jako impresivno u usporedbi s globalnim transakcijama u pravoj valuti ili financijskim proizvodima.
"Ovo je, također,<mqm:startIssue type=""Omission"" severity=""null"" note="""" agent=""annotator2"" id=""2447""/> <mqm:endIssue id=""2447""/>gdje je Isus došao pred <mqm:startIssue type=""Case"" severity=""null"" note="""" agent=""annotator2"" id=""2448""/>svojim učenicima<mqm:endIssue id=""2448""/> nakon uskrsnuća.","Ovo je također i<mqm:startIssue type=""Omission"" severity=""null"" note="""" agent=""annotator2"" id=""2449""/> <mqm:endIssue id=""2449""/>gdje je Isus došao pred <mqm:startIssue type=""Case"" severity=""null"" note=""iako nije izostavljeno ništa iz izvornog teksta, stavio sam omission jer se na hrvatskom ne može samo reći gdje je isus došao, mora se reći mjesto gdje je isus došao"" agent=""annotator2"" id=""2450""/>svojim učenicima<mqm:endIssue id=""2450""/>, <mqm:startIssue type=""Extraneous"" severity=""null"" note="""" agent=""annotator2"" id=""2451""/>i<mqm:endIssue id=""2451""/> nakon uskrsnuća.","<mqm:startIssue type=""Mistranslation"" severity=""null"" note="""" agent=""annotator2"" id=""3389""/>Tu <mqm:endIssue id=""3389""/>je i Isus došao <mqm:startIssue type=""Incorrect"" severity=""null"" note="""" agent=""annotator2"" id=""3390""/>prije<mqm:endIssue id=""3390""/> <mqm:startIssue type=""Word form"" severity=""null"" note="""" agent=""annotator2"" id=""3391""/>njegovih<mqm:endIssue id=""3391""/> učenika i nakon uskrsnuća."
"Posjetitelji i izletnici dolaze uglavnom iz <mqm:startIssue type=""Case"" severity=""null"" note="""" agent=""annotator2"" id=""2452""/>SAD<mqm:endIssue id=""2452""/>, Rusije, Francuske, Njemačke, Italije, Engleske i Ukrajine.","Posjetitelji i izletnici dolaze uglavnom iz SAD-a, Rusije, Francuske, Njemačke, Italije, Engleske i Ukrajine.","Posjetitelji i izletnici <mqm:startIssue type=""Word order"" severity=""null"" note="""" agent=""annotator2"" id=""3392""/>su<mqm:endIssue id=""3392""/> dolazili uglavnom iz SAD-a, Rusije, Francuske, Njemačke, Italije, Engleske i Ukrajine."
"U <mqm:startIssue type=""Mistranslation"" severity=""null"" note="""" agent=""annotator2"" id=""2453""/>kući<mqm:endIssue id=""2453""/> Victor-Gadbois, <mqm:startIssue type=""Mistranslation"" severity=""null"" note="""" agent=""annotator2"" id=""2454""/>jednog dana slijedi još jedan<mqm:endIssue id=""2454""/> ali ne postoje <mqm:startIssue type=""Gender"" severity=""null"" note="""" agent=""annotator2"" id=""2455""/>dvije iste<mqm:endIssue id=""2455""/>.","U <mqm:startIssue type=""Mistranslation"" severity=""null"" note="""" agent=""annotator2"" id=""2456""/>kući<mqm:endIssue id=""2456""/> Victor-Gadbois,<mqm:startIssue type=""Mistranslation"" severity=""null"" note="""" agent=""annotator2"" id=""2457""/> jednog dana slijedi još jedno<mqm:endIssue id=""2457""/>, ali ne postoje <mqm:startIssue type=""Case"" severity=""null"" note="""" agent=""annotator2"" id=""2458""/>dvije iste<mqm:endIssue id=""2458""/>.","U hotelu Victor-Gadbois, jedan dan <mqm:startIssue type=""Mistranslation"" severity=""null"" note="""" agent=""annotator2"" id=""3393""/>slijedi<mqm:endIssue id=""3393""/> drugog, ali <mqm:startIssue type=""Mistranslation"" severity=""null"" note="""" agent=""annotator2"" id=""3394""/>ne i dva ista<mqm:endIssue id=""3394""/>."
"<mqm:startIssue type=""Mistranslation"" severity=""null"" note="""" agent=""annotator2"" id=""2459""/>Bio sam samo vraćati <mqm:endIssue id=""2459""/><mqm:startIssue type=""Incorrect"" severity=""null"" note="""" agent=""annotator2"" id=""2460""/>iz<mqm:endIssue id=""2460""/> niza ozljeda.","<mqm:startIssue type=""Mistranslation"" severity=""null"" note="""" agent=""annotator2"" id=""2461""/>Bio sam samo vraćati<mqm:endIssue id=""2461""/> <mqm:startIssue type=""Incorrect"" severity=""null"" note="""" agent=""annotator2"" id=""2462""/>iz<mqm:endIssue id=""2462""/> niza ozljeda.","Upravo sam se <mqm:startIssue type=""Mistranslation"" severity=""null"" note="""" agent=""annotator2"" id=""3395""/>vratio <mqm:endIssue id=""3395""/>iz niza ozljeda."
"<mqm:startIssue type=""Extraneous"" severity=""null"" note="""" agent=""annotator2"" id=""2463""/>U<mqm:endIssue id=""2463""/> <mqm:startIssue type=""Case"" severity=""null"" note="""" agent=""annotator2"" id=""2464""/>cijeloj povijesti<mqm:endIssue id=""2464""/><ins>Â </ins><mqm:startIssue type=""Case"" severity=""null"" note="""" agent=""annotator2"" id=""2465""/><del> </del>moja provokativna<mqm:endIssue id=""2465""/> <mqm:startIssue type=""Mistranslation"" severity=""null"" note="""" agent=""annotator2"" id=""2466""/>akcija <mqm:endIssue id=""2466""/><mqm:startIssue type=""Word order"" severity=""null"" note="""" agent=""annotator2"" id=""2467""/>je<mqm:endIssue id=""2467""/> poziv na raspravu.",Cijela povijest moje provokativne akcije je poziv na raspravu.,"Cijela povijest mojih provokativnih <mqm:startIssue type=""Register"" severity=""null"" note="""" agent=""annotator2"" id=""3396""/>akcija <mqm:endIssue id=""3396""/><mqm:startIssue type=""Word order"" severity=""null"" note="""" agent=""annotator2"" id=""3397""/>je <mqm:endIssue id=""3397""/>poziv na raspravu."
"<mqm:startIssue type=""Mistranslation"" severity=""null"" note="""" agent=""annotator2"" id=""2468""/>Cure<mqm:endIssue id=""2468""/> ne reagiraju na svjetlo i zvuk.",Pilići ne reagiraju na svjetlo i zvuk.,"<mqm:startIssue type=""Mistranslation"" severity=""null"" note="""" agent=""annotator2"" id=""3398""/>Komadi <mqm:endIssue id=""3398""/>nisu reagirali na <mqm:startIssue type=""Omission"" severity=""null"" note="""" agent=""annotator2"" id=""3399""/>svjetlo<mqm:endIssue id=""3399""/>."
"Sve se uvozi; ništa se ne proizvodi, osim voća i povrća.","Sve je <mqm:startIssue type=""Gender"" severity=""null"" note="""" agent=""annotator2"" id=""2469""/>uvezena<mqm:endIssue id=""2469""/>; ništa se ne proizvodi, osim voća i povrća.",Sve se uvozi; ništa se ne proizvodi osim voća i povrća.
"Također, učinak vitamina D na rak nije <mqm:startIssue type=""Gender"" severity=""null"" note="""" agent=""annotator2"" id=""2470""/>jasno<mqm:endIssue id=""2470""/>.","Također, učinak vitamina D na rak nije <mqm:startIssue type=""Gender"" severity=""null"" note="""" agent=""annotator2"" id=""2471""/>jasno<mqm:endIssue id=""2471""/>.",TakođerÂ učinak vitamina D na karcinom nije jasan.
"U suštini, to je <mqm:startIssue type=""Mistranslation"" severity=""null"" note="""" agent=""annotator2"" id=""2472""/>podzemni kabel željeznice<mqm:endIssue id=""2472""/>.","U suštini, to je <mqm:startIssue type=""Mistranslation"" severity=""null"" note="""" agent=""annotator2"" id=""2473""/>podzemni kabel željeznice<mqm:endIssue id=""2473""/>.","U biti, to je podzemna<mqm:startIssue type=""Omission"" severity=""null"" note="""" agent=""annotator2"" id=""3401""/> <mqm:endIssue id=""3401""/>željeznica."
"Štoviše, on je gradski čovjek, koji ljude <mqm:startIssue type=""Mistranslation"" severity=""null"" note="""" agent=""annotator2"" id=""2474""/>čini osmijeh<mqm:endIssue id=""2474""/> na ulici i podigne svačiji duh.","Štoviše, on je gradski čovjek, koji će nasmijati ljude na ulici i <mqm:startIssue type=""Tense/aspect/mood"" severity=""null"" note="""" agent=""annotator2"" id=""2475""/>digne<mqm:endIssue id=""2475""/> svačiji duh.","Štoviše, on je gradski čovjek, koji <mqm:startIssue type=""Register"" severity=""null"" note="""" agent=""annotator2"" id=""3402""/>čini da se<mqm:endIssue id=""3402""/> ljudi smiješe na ulici i <mqm:startIssue type=""Agreement"" severity=""null"" note="""" agent=""annotator2"" id=""3403""/>podižu <mqm:endIssue id=""3403""/>svačiji duh."
"<mqm:startIssue type=""Mistranslation"" severity=""null"" note="""" agent=""annotator2"" id=""2476""/>Najveći rizik <mqm:startIssue type=""Tense/aspect/mood"" severity=""null"" note="""" agent=""annotator2"" id=""2477""/>je<mqm:endIssue id=""2477""/> Terješkova.<mqm:endIssue id=""2476""/>","Najveći rizik <mqm:startIssue type=""Tense/aspect/mood"" severity=""null"" note="""" agent=""annotator2"" id=""2478""/>je<mqm:endIssue id=""2478""/> za <mqm:startIssue type=""Gender"" severity=""null"" note="""" agent=""annotator2"" id=""2479""/>Terješkova<mqm:endIssue id=""2479""/>.",Najveći rizik je bio za tereskovu.
"Nekoliko sati kasnije, tim našao lijek za tu bolest.","Nekoliko sati kasnije, tim je našao lijek za tu bolest.","Nekoliko sati kasnije, tim je pronašao lijek za ovu bolest."
On je radio s velikim igračima.,On je radio s velikim igračima.,Radio je s velikim igračima.
"Osim toga, novi podaci <mqm:startIssue type=""Tense/aspect/mood"" severity=""null"" note="""" agent=""annotator2"" id=""2480""/>otkrili <mqm:endIssue id=""2480""/>ovaj tjedan na velikom kongresu fizike u <mqm:startIssue type=""Case"" severity=""null"" note="""" agent=""annotator2"" id=""2481""/>Kyoto<mqm:endIssue id=""2481""/> <mqm:startIssue type=""Mistranslation"" severity=""null"" note="""" agent=""annotator2"" id=""2482""/>da to potvrditi<mqm:endIssue id=""2482""/>, ali još uvijek <mqm:startIssue type=""Mistranslation"" severity=""null"" note="""" agent=""annotator2"" id=""2483""/>ima<mqm:endIssue id=""2483""/> dovoljno podataka da <mqm:startIssue type=""Number"" severity=""null"" note="""" agent=""annotator2"" id=""2484""/>bude<mqm:endIssue id=""2484""/> savršeno siguran.","Osim toga, novi podaci <mqm:startIssue type=""Tense/aspect/mood"" severity=""null"" note="""" agent=""annotator2"" id=""2485""/>otkrili<mqm:endIssue id=""2485""/> ovaj tjedan na velikom kongresu fizike u Kyotu, <mqm:startIssue type=""Mistranslation"" severity=""null"" note="""" agent=""annotator2"" id=""2486""/>čini se da<mqm:endIssue id=""2486""/><mqm:startIssue type=""Omission"" severity=""null"" note="""" agent=""annotator2"" id=""2487""/> <mqm:endIssue id=""2487""/><mqm:startIssue type=""Tense/aspect/mood"" severity=""null"" note="""" agent=""annotator2"" id=""2488""/>potvrdimo<mqm:endIssue id=""2488""/>, ali <mqm:startIssue type=""Mistranslation"" severity=""null"" note="""" agent=""annotator2"" id=""2489""/>tu su<mqm:endIssue id=""2489""/> još uvijek <mqm:startIssue type=""Mistranslation"" severity=""null"" note="""" agent=""annotator2"" id=""2490""/>dovoljno<mqm:endIssue id=""2490""/> podataka da <mqm:startIssue type=""Agreement"" severity=""null"" note="""" agent=""annotator2"" id=""2491""/>bude <mqm:endIssue id=""2491""/>savršeno siguran.","Osim toga, novi podaci <mqm:startIssue type=""Mistranslation"" severity=""null"" note="""" agent=""annotator2"" id=""3404""/>pokazuju da<mqm:endIssue id=""3404""/> ovaj tjedan na velikom matematičkom kongresu u Kyotu to <mqm:startIssue type=""Number"" severity=""null"" note="""" agent=""annotator2"" id=""3405""/>potvrđuje<mqm:endIssue id=""3405""/>, ali još uvijek nema dovoljno podataka da <mqm:startIssue type=""Register"" severity=""null"" note="""" agent=""annotator2"" id=""3406""/>bi <mqm:endIssue id=""3406""/>bili sasvim sigurni."
,"Ali aktivisti za ljudska prava, pitali su pitanje više puta u tisku prije nego štoje zakon stupio na snagu: Što će to zapravo postići","No<mqm:startIssue type=""Addition"" severity=""null"" note="""" agent=""annotator2"" id=""3407""/>,<mqm:endIssue id=""3407""/> prije no što je zakon stupio na snagu, aktivisti za ljudska prava su u medijima opetovano postavljali pitanje: što će to zapravo postići"
"Viktor Baranets potvrđuje da nakon <mqm:startIssue type=""Mistranslation"" severity=""null"" note="""" agent=""annotator2"" id=""2492""/>napuštanja<mqm:endIssue id=""2492""/> <mqm:startIssue type=""Case"" severity=""null"" note="""" agent=""annotator2"" id=""2493""/>zahtjev <mqm:endIssue id=""2493""/>na stranicama možete ostati bez oružja i ići u zatvor.","Viktor Baranets potvrđuje da je nakon <mqm:startIssue type=""Mistranslation"" severity=""null"" note="""" agent=""annotator2"" id=""2494""/>napuštanja<mqm:endIssue id=""2494""/> zahtjeva na <mqm:startIssue type=""Register"" severity=""null"" note="""" agent=""annotator2"" id=""2495""/>sajtu<mqm:endIssue id=""2495""/> možete ostati bez oružja i ići u zatvor.","Viktor Baranets potvrđuje da je nakon što <mqm:startIssue type=""Part of speech"" severity=""null"" note="""" agent=""annotator2"" id=""3532""/>je ostavio<mqm:endIssue id=""3532""/>Â zahtjev na <mqm:startIssue type=""Mistranslation"" severity=""null"" note="""" agent=""annotator2"" id=""3409""/>mjestu <mqm:endIssue id=""3409""/><mqm:startIssue type=""Addition"" severity=""null"" note="""" agent=""annotator2"" id=""3410""/>gdje <mqm:endIssue id=""3410""/>možete ostati bez oružja i ići u zatvor."
"""<mqm:startIssue type=""Mistranslation"" severity=""null"" note="""" agent=""annotator2"" id=""2496""/>To je dovoljno<mqm:endIssue id=""2496""/> da imaju određenu svotu novca"", <mqm:startIssue type=""Mistranslation"" severity=""null"" note="""" agent=""annotator2"" id=""2497""/>kaže reklama ide<mqm:endIssue id=""2497""/><ins>Â </ins><del> </del>na <mqm:startIssue type=""Register"" severity=""null"" note="""" agent=""annotator2"" id=""2498""/>sajtu <mqm:endIssue id=""2498""/>""<mqm:startIssue type=""Untranslated"" severity=""null"" note="""" agent=""annotator2"" id=""2499""/>Buy <mqm:endIssue id=""2499""/>pištolj ili pušku"".","""<mqm:startIssue type=""Mistranslation"" severity=""null"" note="""" agent=""annotator2"" id=""2500""/>To je dovoljno<mqm:endIssue id=""2500""/> imati određenu sumu novca,"" kaže <mqm:startIssue type=""Mistranslation"" severity=""null"" note="""" agent=""annotator2"" id=""2501""/>da reklama ide<mqm:endIssue id=""2501""/> na web stranici ""<mqm:startIssue type=""Tense/aspect/mood"" severity=""null"" note="""" agent=""annotator2"" id=""2502""/>Kupujmo<mqm:endIssue id=""2502""/> pištolj ili <mqm:startIssue type=""Case"" severity=""null"" note="""" agent=""annotator2"" id=""2503""/>puška<mqm:endIssue id=""2503""/>.""","""Dovoljno je imati određenu sumu novca"", kaže<mqm:startIssue type=""Omission"" severity=""null"" note="""" agent=""annotator2"" id=""3411""/> <mqm:endIssue id=""3411""/>oglas na sajtu ""<mqm:startIssue type=""Register"" severity=""null"" note="""" agent=""annotator2"" id=""3412""/>Kupi <mqm:endIssue id=""3412""/>pištolj ili pušku""."
"Prema tradiciji, ljudi različitih vjera <mqm:startIssue type=""Tense/aspect/mood"" severity=""null"" note="""" agent=""annotator2"" id=""2504""/>ostavite<mqm:endIssue id=""2504""/> poruke <mqm:startIssue type=""Word order"" severity=""null"" note="""" agent=""annotator2"" id=""2505""/>ovdje <mqm:endIssue id=""2505""/>sa svojim željama, <mqm:startIssue type=""Mistranslation"" severity=""null"" note="""" agent=""annotator2"" id=""2506""/>koji su potom ispunjeni<mqm:endIssue id=""2506""/>.","Prema tradiciji, ljudi različitih vjera ostavljaju poruke <mqm:startIssue type=""Word order"" severity=""null"" note="""" agent=""annotator2"" id=""2507""/>ovdje<mqm:endIssue id=""2507""/> sa svojim željama, koje su onda <mqm:startIssue type=""Gender"" severity=""null"" note="""" agent=""annotator2"" id=""2508""/>ispunjeni<mqm:endIssue id=""2508""/>.","Prema tradiciji, ljudi različitih vjera ostavljaju <mqm:startIssue type=""Mistranslation"" severity=""null"" note="""" agent=""annotator2"" id=""3413""/>bilješke <mqm:endIssue id=""3413""/><mqm:startIssue type=""Word order"" severity=""null"" note="""" agent=""annotator2"" id=""3414""/>ovdje <mqm:endIssue id=""3414""/>sa svojim željama, koje <mqm:startIssue type=""Tense/aspect/mood"" severity=""null"" note="""" agent=""annotator2"" id=""3415""/>su<mqm:endIssue id=""3415""/> tada ispunjene."
"- Usprkos činjenici da Kinect <mqm:startIssue type=""Mistranslation"" severity=""null"" note="""" agent=""annotator2"" id=""2509""/>pomaknuo<mqm:endIssue id=""2509""/> interakciju na fizičkom <mqm:startIssue type=""Register"" severity=""null"" note="""" agent=""annotator2"" id=""2510""/>nivou<mqm:endIssue id=""2510""/>, još uvijek se <mqm:startIssue type=""Mistranslation"" severity=""null"" note="""" agent=""annotator2"" id=""2511""/>javlja <mqm:endIssue id=""2511""/>na ravnom ekranu, ponekad u <mqm:startIssue type=""Case"" severity=""null"" note="""" agent=""annotator2"" id=""2512""/>3D<mqm:endIssue id=""2512""/>.","- Usprkos činjenici da Kinect <mqm:startIssue type=""Tense/aspect/mood"" severity=""null"" note="""" agent=""annotator2"" id=""2513""/>pomaknuo<mqm:endIssue id=""2513""/> interakciju na fizičku razinu, još uvijek se <mqm:startIssue type=""Mistranslation"" severity=""null"" note="""" agent=""annotator2"" id=""2514""/>javlja<mqm:endIssue id=""2514""/> na ravnom ekranu, ponekad u <mqm:startIssue type=""Case"" severity=""null"" note="""" agent=""annotator2"" id=""2515""/>3D<mqm:endIssue id=""2515""/>.","- Zbog činjenice da je Kinect pomaknuo interakciju na fizički <mqm:startIssue type=""Register"" severity=""null"" note="""" agent=""annotator2"" id=""3416""/>nivo<mqm:endIssue id=""3416""/>, mnogo<mqm:startIssue type=""Omission"" severity=""null"" note="""" agent=""annotator2"" id=""3417""/> <mqm:endIssue id=""3417""/>se još uvijek događa na ravnim ekranima, ponekad u <mqm:startIssue type=""Case"" severity=""null"" note="""" agent=""annotator2"" id=""3418""/>3D<mqm:endIssue id=""3418""/>."
"Komisija <mqm:startIssue type=""Addition"" severity=""null"" note="""" agent=""annotator2"" id=""2516""/>je <mqm:endIssue id=""2516""/>Charbonneau ""<mqm:startIssue type=""Word order"" severity=""null"" note="""" agent=""annotator2"" id=""2517""/>je<mqm:endIssue id=""2517""/> već <mqm:startIssue type=""Tense/aspect/mood"" severity=""null"" note="""" agent=""annotator2"" id=""2518""/>srušena<mqm:endIssue id=""2518""/> dva gradonačelnika"" dodaje, nadajući se da će uspjeti u ""otkrivanju <mqm:startIssue type=""Mistranslation"" severity=""null"" note="""" agent=""annotator2"" id=""2519""/>sheme <mqm:endIssue id=""2519""/>iza pojedinaca"".","Komisija <mqm:startIssue type=""Addition"" severity=""null"" note="""" agent=""annotator2"" id=""2520""/>je<mqm:endIssue id=""2520""/> Charbonneau ""<mqm:startIssue type=""Word order"" severity=""null"" note="""" agent=""annotator2"" id=""2521""/>je<mqm:endIssue id=""2521""/> već <mqm:startIssue type=""Gender"" severity=""null"" note="""" agent=""annotator2"" id=""2522""/>srušio<mqm:endIssue id=""2522""/> dva gradonačelnika"" dodaje, nadajući se da će uspjeti u ""razotkrivanju <mqm:startIssue type=""Register"" severity=""null"" note="""" agent=""annotator2"" id=""2523""/>shema<mqm:endIssue id=""2523""/> iza pojedinaca.""","<mqm:startIssue type=""Untranslated"" severity=""null"" note="""" agent=""annotator2"" id=""3419""/>The <mqm:endIssue id=""3419""/>Charbonneau <mqm:startIssue type=""Word order"" severity=""null"" note="""" agent=""annotator2"" id=""3420""/>komisija <mqm:endIssue id=""3420""/>""već je <mqm:startIssue type=""Mistranslation"" severity=""null"" note="""" agent=""annotator2"" id=""3421""/>donio <mqm:endIssue id=""3421""/>dva gradonačelnika"" dodaje, nadajući se da će <mqm:startIssue type=""Mistranslation"" severity=""null"" note="""" agent=""annotator2"" id=""3422""/>to <mqm:endIssue id=""3422""/>uspjeti """" <mqm:startIssue type=""Tense/aspect/mood"" severity=""null"" note="""" agent=""annotator2"" id=""3423""/>otkrivajući <mqm:endIssue id=""3423""/><mqm:startIssue type=""Mistranslation"" severity=""null"" note="""" agent=""annotator2"" id=""3424""/>sheme <mqm:endIssue id=""3424""/>iza pojedinaca. """
